q_m_inv,power
-4.0543720650094128e+16,1.5108747849933396e-09
-4.0518693662038512e+16,2.1199349989472382e-09
-4.0493666673982896e+16,2.3625522830107088e-09
-4.0468639685927288e+16,3.2164822421445775e-09
-4.0443612697871672e+16,4.3228871950934629e-09
-4.0418585709816056e+16,4.8429590046664254e-09
-4.0393558721760440e+16,4.4043098052948191e-09
-4.0368531733704832e+16,5.1764401657590025e-09
-4.0343504745649216e+16,5.3298804718459702e-09
-4.0318477757593600e+16,4.0393105398324931e-09
-4.0293450769537984e+16,3.3712231630920353e-09
-4.0268423781482376e+16,3.3881204911592552e-09
-4.0243396793426760e+16,2.3889115683675474e-09
-4.0218369805371144e+16,1.5037137927320298e-09
-4.0193342817315536e+16,1.5132153239921698e-09
-4.0168315829259920e+16,1.6187089959151573e-09
-4.0143288841204312e+16,2.2768959068444061e-09
-4.0118261853148696e+16,2.2578773050806782e-09
-4.0093234865093080e+16,3.1829206159167498e-09
-4.0068207877037472e+16,4.5501772715423107e-09
-4.0043180888981856e+16,5.2664514633433636e-09
-4.0018153900926240e+16,4.8170881026568472e-09
-3.9993126912870632e+16,6.0811360109212362e-09
-3.9968099924815016e+16,6.0882575505663506e-09
-3.9943072936759400e+16,5.1251663872766094e-09
-3.9918045948703784e+16,4.3765499550090953e-09
-3.9893018960648176e+16,4.3508702473702079e-09
-3.9867991972592560e+16,3.3119203621710652e-09
-3.9842964984536944e+16,2.5330645966884711e-09
-3.9817937996481328e+16,2.0805341290371949e-09
-3.9792911008425720e+16,2.4280373606914027e-09
-3.9767884020370104e+16,2.9370027827115734e-09
-3.9742857032314488e+16,2.8030050565814451e-09
-3.9717830044258880e+16,3.7317131186596663e-09
-3.9692803056203264e+16,5.1197180069101998e-09
-3.9667776068147648e+16,5.6110093615739412e-09
-3.9642749080092032e+16,5.3579767980280311e-09
-3.9617722092036424e+16,6.3505477463797769e-09
-3.9592695103980808e+16,6.1743129604596344e-09
-3.9567668115925192e+16,5.5729284863288469e-09
-3.9542641127869576e+16,4.4986099214817076e-09
-3.9517614139813968e+16,4.4174352958083306e-09
-3.9492587151758352e+16,3.7768657804943118e-09
-3.9467560163702736e+16,3.2065269495871959e-09
-3.9442533175647120e+16,2.6515217252206807e-09
-3.9417506187591512e+16,3.7300819063554923e-09
-3.9392479199535896e+16,4.2258659052155933e-09
-3.9367452211480280e+16,4.5018534782956757e-09
-3.9342425223424672e+16,5.3871411408909705e-09
-3.9317398235369056e+16,6.8922212610492197e-09
-3.9292371247313448e+16,7.0499445783086550e-09
-3.9267344259257832e+16,6.8675664151004093e-09
-3.9242317271202216e+16,6.8591658136683725e-09
-3.9217290283146608e+16,6.7243122463775145e-09
-3.9192263295090992e+16,5.5988512336433040e-09
-3.9167236307035376e+16,4.2156666334651136e-09
-3.9142209318979768e+16,3.8545355535681458e-09
-3.9117182330924152e+16,3.5299090844548307e-09
-3.9092155342868536e+16,3.1582636385936626e-09
-3.9067128354812920e+16,3.0088202079433509e-09
-3.9042101366757312e+16,4.8092468683484156e-09
-3.9017074378701696e+16,5.5771214728178003e-09
-3.8992047390646080e+16,7.1466778362080414e-09
-3.8967020402590464e+16,7.5745943049782241e-09
-3.8941993414534856e+16,9.9296293983288797e-09
-3.8916966426479240e+16,9.6097417961723260e-09
-3.8891939438423624e+16,9.7769002066111634e-09
-3.8866912450368016e+16,8.2858099372017643e-09
-3.8841885462312400e+16,8.7431923103523533e-09
-3.8816858474256784e+16,5.9892173954628661e-09
-3.8791831486201168e+16,4.7957379158381045e-09
-3.8766804498145560e+16,3.4028437392944235e-09
-3.8741777510089944e+16,3.5496517389667798e-09
-3.8716750522034328e+16,2.6301745350766584e-09
-3.8691723533978712e+16,3.5433177260673693e-09
-3.8666696545923104e+16,4.7377156376924883e-09
-3.8641669557867488e+16,7.1760826355876673e-09
-3.8616642569811872e+16,8.5550199201874546e-09
-3.8591615581756256e+16,1.0043015858021232e-08
-3.8566588593700648e+16,1.1762559805572967e-08
-3.8541561605645032e+16,1.2966622748733683e-08
-3.8516534617589416e+16,1.1506768937735883e-08
-3.8491507629533808e+16,1.0997843008394528e-08
-3.8466480641478192e+16,9.9753702428404206e-09
-3.8441453653422576e+16,7.7386462602957264e-09
-3.8416426665366968e+16,5.3391516630851877e-09
-3.8391399677311352e+16,4.2953767440260684e-09
-3.8366372689255744e+16,3.7963468487085836e-09
-3.8341345701200128e+16,3.1016349738950336e-09
-3.8316318713144512e+16,4.3740329830015879e-09
-3.8291291725088904e+16,5.0663617176208802e-09
-3.8266264737033288e+16,8.8886304285467349e-09
